"Deutsch";"English";"dansk";"Nederlands";"scientific"
"Tourismus, der (-; no pl.)";"tourism";"turisme (-n; no pl.)";"toerisme, het";
"Tourist, der (-en; -en), Touristin, die (-; -nen)";"tourist";"turist (-en; -er)";"toerist (-e f.), de";
"Touristenattraktion, die (-; -en)";"tourist attraction";"turistattraktion (-en; -er)";"toeristenattractie, de (pl.: toeristtatracties)";
"Trauerente f";"common scoter";"sortand";"zwarte zeeënd";"Melanitta nigra"
"treiben (v.)";"drift (v.)";"drive (v.)";"drijven (ww.)";
"Treibhauseffekt, der (-[e]s; -e)";"greenhouse effect";"drivhuseffekt (-en; -er)";"broeikaseffect, het";
"Treibnetz, das (-es; -e)";"drift net";"drivgarn (-et; -), drivnet (-tet; -)";"drijfnet, het";
"Treppengiebelchen n";"Oenopota turricula";"skarpkølet pilsnegl";"gewone trapgevel";"Oenopota turricula"
"Trespen-Federschwingel f";"squirreltail fescue";"langstakket væselhale";"eekhoorngras n";"Vulpia bromoides"
"Trilaterale Kooperation, die (-; no pl.)";"Trilateral Cooperation";"Trilaterale Kooperation (-en; no pl.)";"Trilaterale Coöperatie, de";
"trockenfallen (v.)";"fall dry (v.)";"tørlægge (v.)";"droogvallen (ww.)";
"Trottellumme f";"guillemot";"lomvie";"zeekoet";"Uria aalge"
"Trübe, die (-; -n)";"turbidity";"grumsethed (-en; -er)";"vertroebeling, de";
"Tüpfelfarn m";"common polypode";"engelsød";"eikvaren";"Polypodium vulgare"
"Tüpfel-Johanniskraut n";"common St. John´s wort";"prikbladet perikon";"sint janskruid n";"Hypericum perforatum"
"Turmschnecke f";"auger shell";"tårnsnegl";"penhoren";"Turritella communis"
"Turtons Wendeltreppe f";"Turton’s wentletrap";"plettet vindeltrappesnegl";"turtons wenteltrap";"Scala turtonis"
"Überdüngung, die (-; -en)";"overfertilization; excess fertiliation";"overgødskning (-en; -er)";"overbemesting, de";
"überflutet";"inundated";"oversvømmet";"overstroomd";
"Übergangszone, die (-; -en)";"transitional zone";"overgangszone (-n; -r)";"overgangszone, de";
"überschwemmen (v.)";"inundate (v.)";"oversvømme (v.)";"overstromen (ww.)";
"Übersehenes Knabenkraut n";"southern marsh-orchid";"priklæbet gøgeurt";"rietorchis";"Dactylorhiza praetermissa"
"überwachen; kontrollieren (v.)";"monitor (v.)";"kontrollere; overvåge (v.)";"controleren; toezicht houden op (ww.)";
"Ufer, das (-s; -) (hier: Meeresufer)";"shore";"kyst (en; -er); strand (-en; -)";"oever, de (pl.: oevers)";
"Uferbefestigung, die (-; -en); Befestigung, die (-; -en)";"shoreline stabilisation,";"kystsikring (-en; -er)";"oeverversterking, de";
"Uferborstenhaar n";"green hairweed";"krølhårstang";"draadwier n";"Chaetomorpha linum"
"Ufer-Laufkäfer m";"Carabus clathratus";"dyndløber";"Carabus clathratus";"Carabus clathratus"
"Uferschnepfe f";"black-tailed godwit";"stor kobbersneppe";"grutto";"Limosa limosa"
"Umgebung, die (-; -en)";"surrounding";"omgivelse (-n; -r)";"Omgeving, de";
"umschlingen; verwirren; verwickeln; verheddern: sich ~ ; verfangen: sich ~ (v.)";"entangle (oneself) (v.)";"hage sig fast; indvikle sig; omslynge (v.)";"verwarren; verwikkelen in; verward raken in; verstrikken (ww.)";
"Umwelt, die (-; -en)";"environment";"miljø (-et; -er)";"milieu, het (pl.: milieus)";
"Umweltbildung, die (-; no pl.)";"environmental education";"miljøundervisning (-en; -er)";"milieuonderwijs, het";
"Umweltverträglichkeitsprüfung (UVP), die (-; -en)";"environmental impact assessment (EIA)";"Vurdering af Virkning på Miljøet (VVM) (-en;-er)";"milieueffectrapportage (m.e.r.), de";
"Untergetauchter Scheiberich, Flutender Sellerie m";"lesser marshwort";"svømmende sumpskærm";"ondergedoken moerasscherm";"Apium inundatum"
"untertauchen; eintauchen (v.)";"submerge (v.)";"dukke ned (v.)";"onderdompelen (ww.)";
"unvorhergesehen";"unforseen";"uforudset";"onvoorspelbaar";
"Ursprung, der (-[e]s; Ursprünge)";"origin";"oprindelse (-n; -r)";"Oorsprong, de";
"Vegetation, die (-; -en)";"vegetation";"vegetation (-en; -er)";"vegetatie, de (pl.: vegtaties)";
"Veränderung, die (-; -en)";"change";"forandring (-en; -er)";"verandering, de";
"verantwortlich";"responsible";"ansvarlig";"verantwoordelijk";
"Verantwortung, die (-; -en)";"responsibility";"ansvar (-et; no pl.)";"verantwoording, de";
"verbieten (v.)";"prohibit (v.)";"forbyde (v.)";"verbieden; ontzeggen (ww.)";
"verbindlich";"binding";"bindende";"Bindend";
"Verbot, das (-[e]s; -e)";"ban; interdiction; prohibition";"forbud (-(d)et; -)";"verbod, het";
"verbreiten (v.) (z.B. eine Idee)";"disseminate, spread (v.) (e.g. an idea)";"udbrede (v.) (fx en idé)";"verspreiden (ww.) (b.v. idee)";
"Verbreitung, die (-; no pl.); Weitergabe, die (-; no pl.)";"dissemination";"udbredelse (-n; -r)";"verspreiding, de; uitbreiding, de";
"Verdünnnung, die (-; -en)";"dilution";"fortynding (-en; -er)";"verdunning, de";
"Verein, der (-[e]s; -e); Verband, der (-[e] s; Verbände)";"association";"forening (-en; -er); klub (-ben; -ber)";"Vereniging, de";
"Vereinbarung, die (-; -en); Kongress, der (-es; -e)";"convention";"konvention (-en; -er); aftale (-n; -r)";"conventie, de (pl.: conventies); afspraak, de (pl.: afspraken)";
"vergleichen (v.)";"compare (v.)";"sammenligne (v.)";"vergelijken (ww.)";
"verklappen (v.)";"dump sth. (v.)";"dumpe; udlede i havet fra skib; klappe (v.)";"dumpen, storten (ww.)";
"Verklappung, die (-; -en)";"ocean dumping; dumping at sea";"dumping (-en; -er)";"dumping, de";
"verknüpfen (v.)";"link-up (v.)";"knytte sammen (v.)";"Verbinden (ww.)";
"Verlagerungsprinzip, das (-s; no pl.)";"Principle of Translocation";"Forflyttelsesprincip (-pet; pl.)";"verplaatsingsbeginsel, het";
"verlassen (v.)";"abandon (v.)";"forlade (v.)";"verlaten (ww.)";
"Verlust, der (-[e]s; -e)";"loss";"tab (-et; -)";"verlies, het";
"Vermeidung, die (-; -en)";"avoidance";"undgåelse (-n; -r)";"Vermijding, de";
"Vermeidungsprinzip, das (-s; no pl.)";"Principle of Avoidance";"Princip (-pet; no pl.) om undgåelse";"vermijdingsbeginsel, het";
"vermitteln (v.) (z.B. Wissen)";"impart (v.) (e.g. knowledge)";"formidle (v.) (fx viden)";"overdragen (ww.) (b.v. kennis)";
"Vermüllung, die (-; -en); Verschmutzung, die (-; -en) (hier: Verschmutzung durch Müll und Abfall)";"litter pollution";"forurening (-en; -er) (her: forurening gennem skrald og affald)";"vervuiling, de (hier: vervuiling door afval)";
"veröffentlichen (v.)";"publish (v.)";"offentliggøre (v.)";"publiceren (ww.)";
"Verschmutzung, die (-; -en)";"pollution";"forurening (-en; -er)";"vervuiling, de";
"Verwaltung, die (-; -en)";"administration";"forvaltning (-en; -er); administration (-en; -er)";"beheer, het; administratie, de (pl.: administraties)";
"Vielblütige Hainsimse f";"heath wood-rush";"mangeblomstret frytle";"veelbloemige veldbies";"Luzula multiflora"
"Vielfalt, die (-; no pl.) (hier: biologische Vielfalt)";"diversity";"mangfoldighed (-en; -er) (her: biologisk mangfoldighed)";"diversiteit, de (hier: biologische diversiteit)";
"Vielstengelige Sumpfsimse f";"manystalked spike-rush";"mangestænglet sumpstrå n";"veelstengelige waterbies";"Eleocharis multicaulis"
"Viermänniges Hornkraut n";"sea mouse-ear";"firehannet hønsetarm";"scheve hoornbloem";"Cerastium diffusum"
"Vögel m";"Birds";"Fugle";"Vogels";"Avesx"
"Vogel, der (-s; Vögel)";"bird";"fugl (-en; -e)";"vogel, de (pl.: vogels)";
"Vogelfuß-Hahnenklee m";"fenugreek; bird’s-foot clover";"fugleklo-kløver, spæd bukkehorn";"vogelpootklaver";"Trifolium ornithopodioides"
"Vogelknöterich m";"knotgrass";"almindelig pileurt";"gewoon varkensgras n";"Polygonum aviculare"
"Vogelschutzgebiet, das (-[e]s; -e)";"bird sanctuary";"fuglebeskyttelsesområde (-t; -r)";"vogelreservaat, het (pl.: vogelreservaten)";
"Vogelwicke f";"tufted vetch";"muse-vikke";"vogelwikke";"Vicia cracca"
"Vogelzählung, die (-; -en)";"bird count";"fugletælling (-en; -er)";"Vogeltelling, de";
"Vogelzug, der (-[e]s; no pl.); Vogelwanderung, die (-; -en)";"bird migration";"fugletræk (-ket; -); fuglemigration (-en; -er)";"vogeltrek, de";
"Vollmond, der (-[e]s; -e)";"full moon";"fuldmåne (-n; -r)";"volle maan, de (pl.: volle manen)";
"vom Aussterben bedrohte Arten";"endangered species";"truede arter som helt er i fare for at uddø";"met uitsterven bedreigde soorten";
"Voraussetzung, die (-; -en)";"requirement; premise";"forudsætning (-en; -er); forudsættelse (-n; -r)";"Voorwaarde, de";
"Vordüne, die (-; -n) (= Primärdüne)";"foredune (= primary dune)";"forklit (-ten; -ter) (= primærklit)";"primaire duin, de";
"Vorland, das (-[e]s; no pl.)";"foreland";"forland (-et; -e)";"voorland, het";
"Vorsichtsmaßnahme, die (-; -n)";"precautionary measure";"sikkerhedsforanstalt-ning (-en; -er); forebyggende foranstaltning (-en; -er)";"voorzorgsmaatregel, de (pl.: voorzorgs-maatregelen of voorzorgsmaatregels)";
"Vorsorge, die (-; no pl.)";"precaution; provision";"omsorg (-en; no pl.)";"voorzorg, de";
"Vorsorgeprinzip, das (-[e]s; pl.)";"Precautionary Principle";"Forsigtighedsprincip(-pet)";"voorzorgbeginsel, het";
"Vorteil, der (-s; -e)";"advantage";"fordel (-en; -e)";"voordeel, het";
"Vortrag, der (-[e]s; Vorträge); Vorlesung, die (-; -en)";"lecture";"foredrag (-et; -)";"presentatie, de (pl.: presentaties); lezing, de";
"Wacholder m";"common juniper";"almindelig ene";"jeneverbes";"Juniperus communis"
"Wachsrose f";"opelet anemone; snakelocks anemone";"søanemone „Anemonia sulcata“";"wasroos";"Anemonia sulcata"
"wahrnehmen; erkennen (v.)";"perceive (v.)";"bemærke; iagtage (v.)";"waarnemen; herkennen (ww.)";
"wahrvermeiden (v.)";"avoid (v.)";"undgå (v.)";"Vermijden (ww.)";
"Wald-Greiskraut n";"heath groundsel; wood groundsel";"skov-brandbæger";"boskruiskruid n";"Senecio sylvaticus"
"Wald-Läusekraut n";"common lousewort";"mose-troldurt";"heidekartelblad n";"Pedicularis sylvatica"
"Waldschnepfe f";"woodcock";"skovsneppe";"houtsnip";"Scolopax rusticola"
"Walfang, der (-[e]s; Wälfänge)";"whaling";"hvalfangst (-en; -er)";"walvisvangst, de";
"Wanderdüne, die (-; -n)";"shifting sand dune";"vandreklit (-ten; -ter)";"stuifduin, de";
"Wanderung, die (-; -en)";"migration";"vandring (-en; -er)";"migratie, de (pl.: migraties); (trek)tocht, de";
"Warft, die (-; -en); Wurt, die (-; -en)";"dwelling mound";"værft (-et; -er); varf (-et; -er)";"terp, de";
"Warzige Braunalge f";"encrusing brown alga “Ralfsia verrucosa“";"vortet ralfsiaskorpe";"bruin korstwier n";"Ralfsia verrucosa"
"Wasser(schutz)polizei, die (-; -en)";"coast guard, water police";"havnepoliti (-et; no pl.); kystpoliti (-et; no pl.)";"Waterpolitie, de";
"wassergesättigt";"waterlogged";"vandmættet; gennemvædet";"verzadigd met water";
"Wasserhühnchen n";"Phalaropus spp";"Odins/Thorshane";"franjepoot";"Phalaropus spp."
"Wassernabel m";"marsh pennywort";"vandnavle";"gewone waternavel";"Hydrocotyle vulgaris"
"Wasservogel, der (-s; Wasservögel)";"waterfowl";"vandfugl (-en; -e)";"watervogel, de (pl.: watervogels)";
"Watt, das (-[e]s; -en)";"intertidal mudflats";"vade (-n; -r)";"wad, het (pl.: wadden)";
"Wattenmeer, das (-[e]s; -e)";"Wadden Sea";"vadehav (-et; -)";"Waddenzee, de";
"Wattschnecke, Gemeine f";"laver spire shell";"stor dyndsnegl";"wadslakje; brakwaterhorentje";"Hydrobia ulvae"
"Wattstrom, der (-[e]s; Wattströme)";"tideway";"pril (-en; -er)";"priel, het; geul, de";
"Wattwanderung, die (-; -en)";"mudflat hiking tour; Wadden Sea hiking tour";"vadehavstur (-en; -e)";"wadlopen, het";
"Wattwurm, Pierwurm m";"blow lug; lob; rockworm";"sandorm";"zeepier";"Arenicola marina"
"Watvogel, der (-s; Watvögel)";"wader";"vadefugl (-en; -e)";"wadvogel, de (pl.: wadvogels)";
"wegwerfen; verwerfen (v.)";"discard (v.)";"kaste (bort); forkaste; smide væk (v.)";"wegwerpen; verwerpen (ww.)";
"Weiche Trespe f";"brome grass";"blød hejre";"zachte dravik";"Bromus hordeaceus"
"Weicher Storchschnabel m";"dove’sfoot crane’s-bill";"blød storkenæb";"zachte ooievaarsbek";"Geranium molle"
"Weideland, das (-[e]s; Weideländer)";"pasture land";"græsmark (-en; -er)";"weidegrond, de; weiland, het";
"Weihen f";"harrier";"høg";"kiekendief";"Circus spp."
"Weißdüne, die (-; -n) (= Sekundärdüne)";"white dune (= secondary dune)";"hvide klit (-ten; -ter) (= en type sekundære klit)";"jonge duin, de; witte duin, de (= een soort secundair duin)";
"Weiße Bohrmuschel f";"white piddock";"almindelig boremusling";"witte boormossel";"Barnea candida"
"Weiße Pfeffermuschel f";"tellins “Abra alba“";"hvid pebermusling";"witte dunschaal";"Abra alba"
"Weißes Schnabelried n";"white beaksedge";"hvid næbfrø";"witte snavelbies";"Rhynchospora alba"
"Weißes Straußgras n";"creeping bentgrass";"klit-hvene";"fioringras n";"Agrostis stolonifera"
"Weißklee m";"white clover";"hvidkløver";"witte klaver";"Trifolium repens"
"Weissliches Kurzbüchsenmoos n";"whitish feather moss";"hvidlig kortkapsel";"bleek dikkopmos n";"Brachythecium albicans"
"Weißschnauzen-delphin m";"whitebeaked dolphin";"hvidnæset delfin";"witsnuitdolfijn";"Lagenorhynchus albirostris"
"Welle, die (-; -n)";"wave";"bølge (-n; -r)";"golf, de (pl.: golven)";
"Welle, die (-; -n) (hier: kleine Welle)";"ripple";"småbølge (-n; -r)";"rimpeling, de; kleine golf, de (pl.: kleine golven)";
"Wellenbrecher, der (-s; -)";"breakwaters";"bølgerbryder (-en; -e)";"golfbreker, de";
"Wellengang, der (-[e]s; no pl.)";"swell";"bølgegang (-en; -e)";"golfslag, de";
"Wellhornschnecke f";"common whelk";"konk";"wulk";"Buccinum undatum"
"Weltkulturerbegebiet, das (-[e]s; -e)";"world heritage site";"verdensarvområde (-t; -r)";"werelderfgoedgebied, het";
"Wert, der (-[e]s; -e) (hier: moralische Werte (pl.))";"value (here: moral values (pl.))";"værdi (-en; -er) (her: moralske værdier (pl.))";"waarde, de (pl.: waarden of waardes) (hier: moreele waarden)";
"widersprechen (v.)";"contradict; disagree (v.)";"modsige (v.)";"tegenspreken (ww.)";
"wiederherstellen (v.)";"restore (v.)";"istandsætte; genoprette (v.)";"herstellen (ww.)";
"Wiederherstellungs-prinzip, das (-[e]s; no pl.)";"Principle of Restoration";"Genopretningsprincip (-pet; no pl.)";"herstelbeginsel, het";
"Wiesen-Alant m";"meadow fleabane";"soløje-alant";"engelse alant";"Inula britannica"
"Wiesenkümmel m";"caraway";"kommen";"echte karwij";"Carum carvi"
"Wiesenpieper m";"meadow pipit";"engpiber";"graspieper";"Anthus pratensis"
"Wiesen-Platterbse f";"meadow vetchling";"gul fladbælg";"veldlathyrus";"Lathyrus pratensis"
"Wilder Kohl m";"cabbage";"havekål";"wilde kool";"Brassica oleracea"
"Wilder Spargel m";"wild asparagus";"asparges";"liggende asperge";"Asparagus officinalis prostratus"
"Wind, der (-[e]s; -e)";"wind";"vind (-en; -e)";"wind, de";
"Windenergie, die (-; -n)";"wind power";"vindenergi (-en; -er); vindkraft (-en; -)";"windenergie, de";
"Windkraftanlage, die (-; -n)";"wind power plant; wind turbine";"vindkraftanlæg (-get; -)";"windturbine, de (pl.: windturbines); windenergieinstallatie, de (pl.: windenegrie-installaties)";
"Wittling m";"whiting";"hvilling";"wijting";"Merlangius merlangus"
"Witwenrose f";"small snakelocks anemone";"hule-søanemonen";"slibanemoon";"Sagartia troglodytes"
"Witwenrose f";"sea anemone";"bredfotet sønemone";"weduweroos";"Sagartiogeton undatus"
"Wohlstand, der (-[e]s; no pl.); Reichtum, der (-s; Reichtümer)";"affluence; wealth";"velstand (-en; no pl.)";"welstand, de; rijkdom, de";
"Wollhandkrabbe f";"Chinese mitten crab";"kinesisk uldhåndskrabbe";"chinese wolhandkrab";"Eriocheir sinensis"
"Wundklee m";"kidney-vetch";"rundbælg";"wondklaver";"Anthyllis vulneraria"
"Wurm, der (-[e]s; Würmer)";"worm";"orm (-en; -e)";"worm, de";
"Wurzelkrebs m";"parasitic barnacle";"Sacculina carcini";"krabbenzakje n";"Sacculina carcini"
"Zauneidechse f";"sand lizard";"markfirben n";"zandhagedis";"Lacerta agilis"
"Zelle, die (-; -n)";"cell";"celle (-n; -r)";"cel, de (pl.: cellen)";
"Zielgruppe, die (-; -n)";"target group";"målgruppe (-n; -r)";"doelgroep, de";
"Zielsetzung, die (-; -en); Ziel, das (-[e]s; -e); Richtwert, der ( -[e]s; -e)";"objective";"mål (-et; -)";"doel, het";
"Zirkulation, die (-; -en)";"circulation";"cirkulation (-en; -er)";"circulatie, de (pl.: circulaties)";
"Zittergras n";"quaking-grass";"almindelig hjertegræs";"bevertjes";"Briza media"
"Zone, die (-; -n)";"zone";"zone (-n; -r)";"zone, de (pl.: zones)";
"Zottige Seerinde f";"hairy sea-mat";"pigget hindemos- dyr";"harige vliescelpoliep";"Electra pilosa"
"züchten (v.)";"breed (v.)";"optrætte (v.)";"kweken (ww.)";
"Zuckertang m";"sugar kelp";"sukkertang";"suikerwier n";"Laminaria saccharina"
"Zugvogel, der (-s; Zugvögel)";"migratory bird";"trækfugl (-en; -e)";"trekvogel, de (pl.: trekvogels)";
"Zugweg, der (-[e]s; -e) (hier: Ost-atlantischer Zugweg der Küstenvögel";"flyway (here: East Atlantic Flyway of coastal birds)";"flyverute (-n; -r) (her: kystfuglenes Øst-atlantisk flyverute)";"vliegroute, de (hier: Oost-Atlantische vliegroute van kustvogels)";
"zurechtkommen mit etw. (v.)";"cope withsth. (v.)";"blive færdig med (v.)";"klaarkrijgen, afkrijgen (ww.)";
"Zusammenhang, der (-[e]s; Zusammenhänge)";"coherence, interrelation";"sammenhæng (-en o. -et; -e o. -); forbindelse (-n; -r)";"samenhang, de";
"Zustand, der (-[e]s; Zustände)";"condition";"tilstand (-en; -e)";"toestand, de";
"zuständig sein für etw. (v.)";"be in charge of sth. (v.)";"være ansvarlig for ngt. (v.)";"bevoegd zijn om (ww.)";
"Zweck, der (-[e]s; -e)";"purpose";"mening (-en; -er); hensigt (-en; -er)";"bedoeling, de; oogmerk, het";
"Zweischneidige Binse f";"two headed rush";"sand-siv";"duinrus";"Juncus anceps"
"Zwergbinse f";"pygmy rush";"dværg siv";"dwergrus";"Juncus pygmaeus"
"Zwerglein m";"allseed";"tusindfrø";"dwergvlas n";"Radiola linoides"
"Zwergmöwe f";"little gull";"dværgmåge";"dwergmeeuw";"Larus minutus"
"Zwergschwan m";"Bewick´s swan";"pibesvane";"kleine zwaan";"Cygnus columbianus"
"Zwerg-Seegras n";"dwarf eelgrass; dwarf grass-wrack";"dværg-bændeltang";"klein zeegras n";"Zostera noltii"
"Zwergseeigel m";"green sea urchin";"dværgsømus";"zeeboontje n";"Echinocyamus pusillus"
"Zwergseeschwalbe f";"little tern";"dværgterne";"dwergstern";"Sterna albifrons"
"Zwergstichling m";"9-spined stickleback";"nipigget hundestejle";"tiendoornige stekelbaars";"Pungitius pungitius"
"Zwergstrandläufer m";"little stint";"dværgryle";"kleine strandloper";"Calidris minuta"
"Zwiebelbinse f";"bulbous rush";"opret siv";"kleine knolrus";"Juncus bulbosus"
"Zwiebelmuschel, Sattelmuschel f";"common saddle oyster; jingle shell";"saddeløsters";"paardenzadel";"Anomia ephippium"
"Zwischeneiszeit, die (-, -en)";"interglacial";"mellemistid (-en; -er)";"tussenijstijd, de";
"zwittrig; zwitterig";"hermaphroditic; androgynous";"tvekønnet; hermafroditisk";"tweeslachtig";
"Zypressenmoos, Seemoos n";"whiteweed; sea cypress";"fjerpolyp; cyprespolyp";"zeecypres";"Sertularia cupressina"
